production company,order,number of movies
euterpe,559,14
eléfilm,560,14
crown international pictures,561,14
a.c. lyles productions,562,14
romania film,563,14
franz seitz filmproduktion,564,14
american broadcasting company (abc),565,14
impala,566,14
france 3 cinéma,567,14
brooksfilms,568,14
marvista entertainment,569,14
the cannon group,570,14
per holst filmproduktion,571,14
téléma,572,14
angel films,573,14
flach film,574,14
reteitalia,575,14
american independent productions,576,14
win's movie productions ltd.,577,14
epic productions,578,14
m&m productions,579,14
madras talkies,580,14
mgn filmes,581,14
artista filmi oy,582,14
royal oaks entertainment inc.,583,14
ice3,584,14
filmpool nord,585,14
megafilm,586,14
rapid heart pictures,587,14
elzévir films,588,14
anima estudios,589,14
ld entertainment,590,14
les films manuel munz,591,14
versus production,592,14
proton cinema,593,14
canana films,594,14
gullane,595,14
head gear films,596,14
studio green,597,14
ufa fiction,598,14
jeonwonsa film,599,14
automatik entertainment,600,14
hollywood media bridge,601,14
reliance entertainment,602,14
universal 1440 entertainment,603,14
taff pictures,604,14
projektions-ag union (pagu),605,13
fine arts film company,606,13
republic pictures corporation (i),607,13
andrew l. stone productions,608,13
soyuzmultfilm,609,13
artfilm,610,13
cocinor,611,13
bryna productions,612,13
alameda films,613,13
veb defa-studio für spielfilme,614,13
arco film,615,13
b.r.c. produzione s.r.l.,616,13
fildebroc,617,13
boxoffice international pictures (bip),618,13
warner bros./seven arts,619,13
katsu production,620,13
amlf,621,13
josé frade producciones cinematográficas s.a.,622,13
first artists,623,13
a.m.a. film,624,13
lo wei motion picture company,625,13
rigas kinostudija,626,13
kitty films,627,13
melvin simon productions,628,13
pannónia filmstúdió,629,13
edward r. pressman film,630,13
clemi cinematografica,631,13
nelvana,632,13
j&m entertainment,633,13
cineplex odeon films,634,13
working title films,635,13
davis entertainment,636,13
creativos asociados de radio y televisión (cartel),637,13
icelandic film,638,13
penta film,639,13
coop vidéo de montréal,640,13
beyond films,641,13
plato film production,642,13
cabin fever entertainment,643,13
france 2 cinéma,644,13
pixar animation studios,645,13
tips films pvt. ltd.,646,13
enrique cerezo producciones cinematográficas s.a.,647,13
motel films,648,13
killer films,649,13
king records,650,13
r&c produzioni,651,13
destination films,652,13
entertainment one,653,13
rai cinema,654,13
serendipity point films,655,13
circe films,656,13
pyramide productions,657,13
kim ki-duk film,658,13
carnaby international,659,13
christal films,660,13
diaphana films,661,13
cl productions,662,13
move movie,663,13
backup media,664,13
komplizen film,665,13
barefoot films,666,13
karé productions,667,13
bold films,668,13
swirl films,669,13
new century production,670,13
fabula,671,13
greenway entertainment,672,13
cineridge entertainment,673,13
feifer worldwide,674,13
pupkin film,675,13
anagram,676,13
panorama studios,677,13
castafiore films,678,13
black fawn films,679,13
bfi film fund,680,13
t-series,681,13
kadokawa,682,13
curiosa films,683,13
universal film manufacturing company,684,12
famous players-lasky corporation,685,12
les films marcel pagnol,686,12
hopalong cassidy productions inc.,687,12
ivan tors productions,688,12
studioul cinematografic bucuresti,689,12
arcola pictures,690,12
filmstudio bucuresti,691,12
ultra film,692,12
four leaf productions,693,12
eagle films,694,12
national film board of canada (nfb),695,12
tigon british film productions,696,12
werner herzog filmproduktion,697,12
estudios churubusco azteca s.a.,698,12
albina productions s.a.r.l.,699,12
kanun parvaresh fekri,700,12
cerito films,701,12
casa de filme cinci,702,12
k.g. productions,703,12
north american pictures,704,12
intercapital,705,12
ifd films and arts,706,12
madhouse,707,12
les productions la fête inc.,708,12
kazakhfilm studios,709,12
vestron pictures,710,12
avenue pictures,711,12
largo entertainment,712,12
3 arts entertainment,713,12
dentsu music and entertainment,714,12
norstar entertainment,715,12
sputnik,716,12
chang hong channel film & video,717,12
the kushner-locke company,718,12
bocaboca producciones,719,12
sonet film ab,720,12
promark entertainment group,721,12
ognon pictures,722,12
patriot pictures,723,12
canadian film or video production tax credit (cptc),724,12
minds eye entertainment,725,12
focus films,726,12
les films des tournelles,727,12
cem film,728,12
muhtesem film,729,12
collective development,730,12
excel entertainment,731,12
sony pictures classics,732,12
tvn,733,12
v. creations,734,12
baa-ram-ewe,735,12
sidney kimmel entertainment,736,12
five star production co. ltd.,737,12
la petite reine,738,12
micro_scope,739,12
2.4.7. films,740,12
paramount vantage,741,12
novotny & novotny filmproduktion gmbh,742,12
black bear pictures,743,12
worldview entertainment,744,12
same player,745,12
scorpio film releasing,746,12
marvel studios,747,12
md pictures,748,12
chapter 2,749,12
kadokawa pictures,750,12
ecce films,751,12
the film,752,12
colour yellow productions,753,12
wwe studios,754,12
nl film,755,12
hybrid,756,12
red giant movies,757,12
event film distribution,758,12
eskay movies,759,12
goldfinch,760,12
svenska biografteatern ab,761,11
charles chaplin productions,762,11
the archers,763,11
producciones rodríguez hermanos,764,11
neue deutsche filmgesellschaft (ndf),765,11
kindai eiga kyokai,766,11
jolly film,767,11
group film productions limited,768,11
otto preminger films,769,11
alfa film,770,11
wakamatsu production,771,11
les films de la boétie,772,11
astral bellevue pathé,773,11
action films,774,11
conacite uno,775,11
lorimar productions,776,11
slovenská filmová tvorba koliba (sft),777,11
lucasfilm,778,11
the ladd company,779,11
kokuei company,780,11
filmteknik,781,11
crone film produktion a/s,782,11
cinema art,783,11
les films vision 4,784,11
shapiro-glickenhaus entertainment,785,11
sil-metropole organisation,786,11
blue rider pictures,787,11
image organization,788,11
les productions lazennec,789,11
corsan,790,11
super cassettes industries limited (t-series),791,11
mandarin films distribution,792,11
film par film,793,11
a. film,794,11
tornasol films,795,11
mdp worldwide,796,11
bleiberg entertainment,797,11
artcam international,798,11
adr productions,799,11
surrender cinema,800,11
ard degeto film,801,11
agidi,802,11
lietuvos kinostudija,803,11
epo-film produktionsgesellschaft,804,11
lumière & company,805,11
filmax,806,11
canal sur televisión,807,11
creative commercials,808,11
filmpartners,809,11
art port,810,11
alquimia cinema,811,11
fridthjof film,812,11
egoli tossell film,813,11
unified pictures,814,11
geneon entertainment,815,11
a24,816,11
les films du lendemain,817,11
aksoy film,818,11
monolith films,819,11
zip cinema,820,11
surinder films,821,11
yale productions,822,11
anchor bay films,823,11
saregama india,824,11
24 frames factory,825,11
grindstone entertainment group,826,11
chubu-nippon broadcasting company (cbc),827,11
claussen wöbke putz filmproduktion,828,11
arizona films,829,11
caramel film,830,11
reliance big pictures,831,11
kino swiat,832,11
fox international productions (fip),833,11
snowfort pictures,834,11
national theatre,835,11
thirukumaran entertainment,836,11
bh5,837,11
terra-filmkunst,838,10
warner brothers-first national productions,839,10
george king productions,840,10
darryl f. zanuck productions,841,10
soyuzdetfilm,842,10
continental films,843,10
producers-actors corporation,844,10
united states pictures,845,10
lippert pictures,846,10
triglav film,847,10
svensk talfilm,848,10
tempean films,849,10
avon productions (ii),850,10
cesáreo gonzález producciones cinematográficas,851,10
d.d.l.,852,10
cinecittà,853,10
bosna film,854,10
anzervos,855,10
marianne productions,856,10
nasir hussain films,857,10
atlántida films,858,10
independent-international pictures,859,10
rai radiotelevisione italiana,860,10
güney film,861,10
cineproduzioni daunia 70,862,10
anglo-emi,863,10
david foster productions,864,10
brut productions,865,10
lion's gate films,866,10
rastar films,867,10
in-cine compañía industrial cinematográfica,868,10
permut presentations,869,10
carthago films s.a.r.l.,870,10
dialóg filmstúdió,871,10
zoetrope studios,872,10
greka film,873,10
"zespol filmowy ""perspektywa""",874,10
warner bros. animation,875,10
island pictures,876,10
belarusfilm,877,10
a&m films,878,10
vinod chopra productions,879,10
obel film,880,10
olga film,881,10
sathya jyothi films,882,10
xi'an film studio,883,10
lightning pictures,884,10
action international pictures (aip),885,10
cinéa,886,10
aftab pictures,887,10
new horizons picture,888,10
les films d'ici,889,10
film kraft,890,10
cosmopolitan film productions,891,10
alcor films,892,10
d.m.s. films,893,10
gramercy pictures (i),894,10
aleph producciones s.a.,895,10
melenny productions,896,10
mavi film,897,10
gh pictures,898,10
active entertainment,899,10
kinotar,900,10
new regency pictures,901,10
jing's production,902,10
artémis productions,903,10
negativ,904,10
dschoint ventschr filmproduktion ag,905,10
ugc ym,906,10
shoreline entertainment,907,10
revolution films,908,10
cinerenta medienbeteiligungs kg,909,10
wüste film,910,10
vyjayanthi movies,911,10
archipel 35,912,10
blind spot pictures oy,913,10
celluloid dreams,914,10
oriental light and magic (olm),915,10
gloria films,916,10
les films du poisson,917,10
belladonna productions,918,10
canal+ polska,919,10
b.o.m. film productions co.,920,10
soraya intercine film pt,921,10
boll kino beteiligungs gmbh & co. kg,922,10
toei video company,923,10
aeroplano cine,924,10
pvpictures,925,10
international video 80,926,10
credofilm,927,10
schramm film koerner & weber,928,10
films & casting temple pvt. ltd. sydney,929,10
peace arch entertainment group,930,10
samfilm produktion,931,10
uk film council,932,10
kyoto animation,933,10
ifc films,934,10
pathé renn productions,935,10
rabbitbandini productions,936,10
darius films,937,10
taewon entertainment,938,10
modernciné,939,10
big beach films,940,10
twisted pictures,941,10
ibc movie,942,10
cranium entertainment,943,10
happinet.,944,10
o som e a fúria,945,10
thelma films,946,10
moby dick films,947,10
fox atomic,948,10
film science,949,10
paco cinematografica,950,10
caviar films,951,10
parts and labor,952,10
opus film,953,10
cinémadefacto,954,10
exclusive media group,955,10
argonauts productions s.a.,956,10
east japan marketing & communications inc.,957,10
windows production house,958,10
metafilms,959,10
column film,960,10
dream warrior pictures,961,10
elsobky film,962,10
lyca productions,963,10
f comme film,964,10
bondit media capital,965,10
audiovisual aval sgr,966,10
big pictures,967,10
new artists alliance,968,10
gmm tai hub (gth),969,10
silver peak productions,970,10
item 7,971,10
alt entertainment,972,10
a-1 pictures,973,10
sbs productions,974,10
c&i entertainment,975,10
daro film distribution,976,10
campfire,977,10
robot communications,978,10
anto joseph film company,979,10
esx entertainment,980,10
società italiana cines,981,9
douglas fairbanks pictures,982,9
decla-bioscop ag,983,9
b.p. schulberg productions,984,9
mezhrabpom-rus,985,9
the harold lloyd corporation,986,9
metro-goldwyn pictures corporation,987,9
mezhrabpomfilm,988,9
pathé exchange,989,9
gendai eigasha,990,9
associated talking pictures (atp),991,9
suomi-filmi,992,9
spéva films,993,9
argosy pictures,994,9
terrafilm,995,9
jack schwarz productions,996,9
columbia british productions,997,9
charter film productions,998,9
edward l. alperson productions,999,9
enterprise productions,1000,9
hope enterprises,1001,9
scott r. dunlap productions,1002,9
cinéphonic,1003,9
arena productions,1004,9
panoramic productions,1005,9
les films marceau,1006,9
champs-élysées productions,1007,9
royal film,1008,9
albert zugsmith productions,1009,9
cinétel,1010,9
ross hunter productions,1011,9
les films copernic,1012,9
william conrad productions,1013,9
"copercines, cooperativa cinematográfica",1014,9
open road films (ii),1015,9
ízaro films,1016,9
bavaria atelier,1017,9
peter walker (heritage) ltd.,1018,9
rastar pictures,1019,9
dieter geissler filmproduktion,1020,9
chartoff-winkler productions,1021,9
capital films,1022,9
corporación nacional cinematográfica (conacine),1023,9
chang's film company,1024,9
films 7,1025,9
panorama film a/s,1026,9
casa de filme trei,1027,9
elite film,1028,9
trimurti films pvt. ltd.,1029,9
documentary & experimental film center,1030,9
american cinema productions,1031,9
renato aragão produções cinematográficas,1032,9
kargah azad film,1033,9
tf1 films production,1034,9
televicine s.a. de c.v.,1035,9
double helix films,1036,9
itami productions,1037,9
interscope communications,1038,9
beyond infinity,1039,9
caméra one,1040,9
interfilm,1041,9
sacher film,1042,9
august 1st film studio,1043,9
movie impact limited,1044,9
arenafilm,1045,9
management company entertainment group (mceg),1046,9
gibraltar entertainment,1047,9
village roadshow pictures,1048,9
maruti international,1049,9
disney television animation,1050,9
win's entertainment ltd.,1051,9
beacon communications,1052,9
win's film productions,1053,9
baltimore pictures,1054,9
capella international,1055,9
ere kokkonen,1056,9
crystal sky worldwide,1057,9
telewizja polska (tvp),1058,9
shree krishna international,1059,9
