imdb_name_id,name,amount of movies
nm0408433,Ralph Ince,2
nm0368871,Henry Hathaway,53
nm0072328,Jean Benoît-Lévy,1
nm0258506,Marie Epstein,1
nm0102908,Robert N. Bradbury,15
nm0627087,Kurt Neumann,25
nm0025497,George Amy,4
nm0000923,Busby Berkeley,29
nm0326370,Phil Goldstone,1
nm0796126,Melville Shyer,4
nm1992711,Takuaki Seiryô,1
nm0163786,Colbert Clark,3
nm0552289,Francis Martin,1
nm0814118,George Somnes,1
nm0558127,Raffaello Matarazzo,6
nm0778306,Reinhold Schünzel,5
nm0550892,George Marshall,58
nm0595451,Philip Moeller,2
nm0656528,Marcel Pagnol,10
nm0629519,George Nichols Jr.,10
nm0897118,Jean Vigo,1
nm0576940,Gus Meins,3
nm0480046,Harry Lachman,13
nm0828419,George Stevens,23
nm0500552,Mitchell Leisen,36
nm0890574,Sergey Vasilev,2
nm0890567,Georgi Vasilyev,1
nm0285946,Eugene Forde,15
nm0352685,George Hadden,1
nm0372942,Ben Hecht,5
nm0531269,Charles MacArthur,2
nm0005716,Lee Garmes,3
nm0397227,David Howard,11
nm0219068,Reginald Denham,1
nm0308593,Harry Garson,1
nm0875746,Wanda Tuchock,1
nm0003836,Michael Powell,32
nm0591173,Worthington Miner,2
nm0294758,Martin Fric,18
nm0746740,Roy Rowland,29
nm0437356,Joseph Kane,57
nm0688198,Willy Pogany,1
nm0276299,Leonard Fields,2
nm0860194,Harlan Thompson,1
nm0294266,Eugene Frenke,2
nm0003373,James P. Hogan,12
nm0166058,William Clemens,24
nm0524995,Edward Ludwig,22
nm0260871,Dwain Esper,4
nm0286924,Willi Forst,5
nm0261971,Alexander Esway,2
nm0000697,Billy Wilder,25
nm0259838,Chester Erskine,5
nm0102424,Arcady Boytler,2
nm0786470,Raphael J. Sevilla,1
nm0121667,Edwin J. Burke,1
nm0853028,Ray Taylor,18
nm0265781,Aleksandr Faintsimmer,4
nm0739677,Mikhail Romm,8
nm0838820,Walter Summers,2
nm0949597,Harold Young,7
nm0743099,Milton Rosmer,4
nm0826452,Robert A. Stemmle,3
nm0316539,Cedric Gibbons,1
nm0570985,James C. McKay,2
nm0059106,Charles Barton,29
nm0674398,Benito Perojo,1
nm0259929,Muhsin Ertugrul,3
nm0567757,Frank McDonald,23
nm0577650,Austin Melford,1
nm0003422,Louis King,18
nm0864006,James Tinling,6
nm0052217,Monty Banks,5
nm0720886,Harry Revier,2
nm0172485,Lewis D. Collins,11
nm0718115,John Reinhardt,8
nm0006943,Charles Lamont,24
nm0669260,George Pearson,1
nm0924824,George White,1
nm0212704,Basil Dean,2
nm0712748,Bernard B. Ray,2
