year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1927.0,3.0,1557.0,94,1.0,-1.0,0,1.0,-1.0,0,27.0,200000.0,28.0,16.0,1.0,21.0,19.0,2.0,13.0,8.1
1926.0,1.0,1103.0,103,1.0,-1.0,0,1.0,-1.0,0,1.0,433000.0,43.0,24.0,1.0,26.0,20.0,1.0,10.0,6.9
1927.0,9.0,1512.0,144,1.0,-1.0,0,1.0,-1.0,0,6.0,1500000.0,41.0,1.0,2.0,48.0,1.0,1.0,3.0,6.7
1927.0,4.0,1527.0,63,1.0,-1.0,0,1.0,-1.0,0,1.0,217000.0,44.0,24.0,1.0,33.0,6.0,1.0,21.0,7.8
1927.0,1.0,1561.0,144,1.0,-1.0,0,1.0,-1.0,0,2665.0,2000000.0,22.0,16.0,2.0,23.0,5.0,1.0,60.0,7.5
1927.0,1.0,1521.0,68,1.0,-1.0,0,1.0,-1.0,0,1.0,80000.0,36.0,7.0,1.0,23.0,64.0,2.0,48.0,3.1
1928.0,4.0,1557.0,85,1.0,-1.0,0,1.0,-1.0,0,1.0,290000.0,29.0,16.0,1.0,24.0,64.0,2.0,28.0,6.0
1928.0,7.0,1237.0,57,1.0,-1.0,0,1.0,-1.0,0,2.0,75000.0,22.0,1.0,2.0,32.0,1.0,1.0,1.0,5.7
1928.0,7.0,1472.0,72,1.0,-1.0,0,1.0,-1.0,0,1665.0,400000.0,49.0,6.0,1.0,29.0,12.0,2.0,14.0,6.8
1928.0,8.0,1557.0,96,1.0,-1.0,0,1.0,-1.0,0,1.0,337000.0,23.0,24.0,2.0,31.0,18.0,1.0,10.0,7.2
1928.0,9.0,1472.0,85,1.0,-1.0,0,1.0,-1.0,0,1.0,178000.0,24.0,64.0,2.0,24.0,7.0,1.0,26.0,6.7
1928.0,10.0,1103.0,78,1.0,-1.0,0,1.0,-1.0,0,106.0,272000.0,31.0,36.0,2.0,32.0,1.0,1.0,37.0,7.5
1928.0,11.0,29.0,93,1.0,-1.0,0,1.0,-1.0,0,3.0,150000.0,40.0,12.0,1.0,24.0,1.0,2.0,31.0,6.1
1928.0,1.0,1103.0,69,1.0,-1.0,0,1.0,-1.0,0,3.0,20000.0,31.0,2.0,2.0,28.0,5.0,1.0,31.0,6.0
1928.0,3.0,29.0,87,1.0,-1.0,0,1.0,-1.0,0,1.0,2000000.0,24.0,17.0,2.0,24.0,7.0,1.0,43.0,6.9
1928.0,11.0,1550.0,65,1.0,-1.0,0,1.0,-1.0,0,1.0,259000.0,45.0,24.0,1.0,50.0,43.0,1.0,21.0,7.2
1928.0,9.0,1231.0,66,1.0,-1.0,0,1.0,-1.0,0,1.0,259000.0,45.0,24.0,1.0,18.0,9.0,2.0,43.0,6.3
1928.0,12.0,1472.0,98,1.0,-1.0,0,1.0,-1.0,0,1.0,383000.0,23.0,24.0,2.0,31.0,22.0,1.0,43.0,7.2
1929.0,11.0,1472.0,87,2.0,-1.0,0,1.0,-1.0,0,411.0,2775.599738,59.0,2.0,1.0,23.0,16.0,2.0,11.0,5.5
1929.0,5.0,577.0,93,1.0,-1.0,0,1.0,-1.0,0,27.0,400000.0,43.0,20.0,1.0,24.0,37.0,2.0,73.0,5.6
1929.0,4.0,1309.0,104,1.0,-1.0,0,1.0,-1.0,0,6.0,1000000.0,31.0,2.0,1.0,30.0,12.0,2.0,6.0,6.2
